id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
38b2f52e-8f5d,1GCWGFCF3F1284719,20998,115879,W1T503168C,2015,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,E85 / Unleaded,4.8,V,nissan ellicott city,8569 Baltimore National Pike,Ellicott City,MD,21043
97ba4955-ccf0,WBY7Z8C59JVB87514,27921,7339,P33243,2018,BMW,i3,s,Hatchback,Car,RWD,Automatic,Electric / Premium Unleaded,0.6,I,hendrick honda pompano beach,5381 N Federal Highway,Pompano Beach,FL,33064
be1da9fd-0f34,ML32F4FJ2JHF10325,11055,39798,WM2091A,2018,Mitsubishi,Mirage G4,SE,Sedan,Car,FWD,Automatic,Unleaded,1.2,I,russ darrow toyota,2700 West Washington St.,West Bend,WI,53095
84327e45-6cb6,1GCPTEE15K1291189,52997,28568,9U2Y425A,2019,Chevrolet,Colorado,ZR2,Pickup,Truck,4WD,Automatic,Diesel,2.8,I,young kia,308 North Main Street,Layton,UT,84041
cde691c3-91dd,1G2AL18F087312093,,188485,T36625A,2008,Pontiac,G5,Base,Coupe,Car,FWD,Automatic,Unleaded,2.2,I,pappas toyota,10011 Spencer Rd,Saint Peters,MO,63376
e6b0a17c-6321,WBY1Z4C54FV500763,,54276,T15046A,2015,BMW,i3,Giga World,Hatchback,Car,RWD,Automatic,Electric / Premium Unleaded,0.6,I,crossroads ford of kernersville,1330 Highway 66 South,Kernersville,NC,27284
43847b9a-6fed,1B7HC16Y8YS543285,3995,137537,BP8246A,2000,Dodge,Ram Pickup,ST,Pickup,Truck,RWD,Manual,Unleaded,5.2,V,baumann auto group,2379 W. State St.,Fremont,OH,43420
8d10256f-3be9,3GNBABDBXAS598032,6500,74274,2104839A,2010,Chevrolet,HHR,LT,Mini Mpv,Car,FWD,Automatic,E85 / Unleaded,2.2,I,volkswagen of grand blanc,6201 S Saginaw Rd,Grand Blanc,MI,48439
d8d6dfed-e273,5YMCY0C08L9D04057,105974,9589,CMR269761A,2020,BMW,X6 M,Base,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,braman miami,2060 Biscayne Boulevard,Miami,FL,33137
3c539e0f-3eb8,1GCGSCE15G1195013,23024,131286,PH195013,2016,Chevrolet,Colorado,LT,Pickup,Truck,RWD,Automatic,Diesel,2.8,I,jefferson city autoplex,3215 Missouri Blvd,Jefferson City,MO,65109
bddcd128-75fe,WDDEJ71X08A014550,,42000,,2008,Mercedes-Benz,CL-Class,CL550,Coupe,Car,RWD,Automatic,Premium Unleaded,5.5,V,benz & beamer,Po Box 1865,Tustin,CA,92781
123b19d3-5335,137ZA84311E192771,,17420,W0U140,2001,Am General,Hummer,Base,SUV,Truck,4WD,Automatic,Diesel,6.5,V,wright buick gmc - wexford,11015 Perry Hwy,Wexford,PA,15090
dffc4e35-48e7,WDDDJ7CB9BA170249,16995,110615,BA170249,2011,Mercedes-Benz,CLS-Class,CLS550,Coupe,Car,RWD,Automatic,Premium Unleaded,5.5,V,mclarty daniel ford,2609 South Walton Boulevard,Bentonville,AR,72712
fbdcf712-82d5,1GNDT13S142248464,5870,144159,U5228B,2004,Chevrolet,TrailBlazer,LS,SUV,Truck,4WD,Automatic,Unleaded,4.2,I,quality cadillac,1620 E Homer Adams Parkway,Alton,IL,62002
e9582e90-0828,ZAMGJ45A580037556,27999,60122,,2008,Maserati,GranTurismo,Base,Coupe,Car,RWD,Automatic,Premium Unleaded,4.2,V,tred,220 Nw 8th Ave,Portland,OR,97209
7346f8a1-8eb8,2G1WD5EM3A1146446,,111221,A1146446,2010,Chevrolet,Impala,Police Sedan,Sedan,Car,FWD,Automatic,E85 / Unleaded,3.9,V,"don franklin chrysler, dodge, jeep, ram, fiat",1147 S Highway 27,Somerset,KY,42501
aea8a65d-e91c,JTJBT20X480150436,17995,107146,2103800,2008,Lexus,GX,470,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,damas auto va,25358 Pleasant Valley Road 120,Chantilly,VA,20152
4e69a998-f5e0,1GCWGAFP7L1134969,30799,33015,,2020,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,Unleaded,4.3,V,walser automotive group,600 W 121st St,Burnsville,MN,55337
7065d19a-56f7,3C6UR5FJ2HG558595,45999,70954,116689A,2017,RAM,Ram 2500 Pickup,Laramie,Pickup,Truck,4WD,Automatic,Unleaded,6.4,I,leonardtown chevrolet,22675 Washington St,Leonardtown,MD,20650
0902892f-a7f6,4JGBF71E78A327314,,143459,A327314,2008,Mercedes-Benz,GL-Class,GL450,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,world discount auto,1449 N Cicero Ave,Chicago,IL,60651
bfd1d506-76d2,1GCPTEE12L1136522,47848,7556,SA7976,2020,Chevrolet,Colorado,ZR2,Pickup,Truck,4WD,Automatic,Diesel,2.8,I,east bay mini,4340 Rosewood Dr,Pleasanton,CA,94588
8332fb29-28c2,WP1AD2A28ELA78213,40988,69610,P30583A,2014,Porsche,Cayenne,GTS,SUV,Truck,4WD,Automatic,Premium Unleaded,4.8,V,stevenson hendrick mazda wilmington,5911 Market Street,Wilmington,NC,28405
9e4c2cb6-87d1,1C4SDJGJ2JC366348,55595,28904,JC366348,2018,Dodge,Durango,SRT,SUV,Truck,4WD,Automatic,Premium Unleaded,6.4,V,infiniti of englewood,60 Rockwood Pl,Englewood,NJ,7631
ba030d8e-2ded,1GCWGAFP7L1179684,35290,12589,P5072C,2020,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,Unleaded,4.3,V,mini of fort wayne,715 Grand National Drive,Fort Wayne,IN,46804
716aa57a-5047,MAJ3P1TE8JC240389,15996,31371,T11553,2018,Ford,Ecosport,SE,Crossover,Truck,FWD,Automatic,Unleaded,1,I,gerald auto group,Aurora Avenue,Naperville,IL,60540
640c8294-c1d9,2MRDA20254BJ19157,5999,73971,J19157,2004,Mercury,Monterey,Premier,Minivan,Truck,FWD,Automatic,Unleaded,4.2,V,autoride,9426 Ronda Ln,Houston,TX,77074
7072251c-2ccc,1GCCSBF95C8167274,16888,35001,C0520,2012,Chevrolet,Colorado,Work Truck,Pickup,Truck,RWD,Manual,Unleaded,2.9,I,winslow ford,840 Mikes Pike,Winslow,AZ,86047
a5c5e7fc-1f0a,5UXJU2C54KLN65802,72988,16578,27775A,2019,BMW,X5,50i,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,penskecars.com,2555 Telegraph Road,Bloomfield,MI,48302
